"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","spa",,,"Worksheet","Graph"
"Vehicle","ks_porsche_911_gt3_r_2016",,,"Vehicle Desc",""
"Driver","xxzerpia23",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Soft (S)",,,"Session","PRACTICE"
"Log Date","6/12/2026",,,"Origin Time","139.249","s"
"Log Time","1:02:00 AM",,,"Start Time","139.250","s"
"Sample Rate","20.000","Hz",,"End Time","281.100","s"
"Duration","141.850","s",,"Start Distance","6607","m"
"Range","Lap 1",,,"End Distance","13562","m"


"Engine RPM","Ground Speed","Throttle Pos","Brake Pos","Steering Angle","Lap Time"
"rpm","km/h","%","%","deg","s"


"7266","166.35","100.00","0.00","3.86","14.20"
"7307","167.16","100.00","0.00","3.86","14.26"
"7398","167.75","100.00","0.00","3.86","14.31"
"7370","168.61","100.00","0.00","3.86","14.36"
"7397","169.38","100.00","0.00","3.86","14.41"
"7461","170.00","100.00","0.00","3.86","14.45"
"7457","170.81","100.00","0.00","3.86","14.51"
"7488","171.61","100.00","0.00","3.86","14.56"
"7527","172.19","100.00","0.00","4.14","14.60"
"7618","172.91","100.00","0.00","4.14","14.66"
"7568","173.63","100.00","0.00","4.65","14.70"
"7666","174.37","100.00","0.00","5.21","14.76"
"7712","175.10","100.00","0.00","5.21","14.81"
"7686","175.75","100.00","0.00","4.93","14.85"
"7696","176.55","100.00","0.00","3.86","14.91"
"7742","177.31","100.00","0.00","3.58","14.96"
"7822","177.90","100.00","0.00","3.30","15.00"
"7864","178.64","100.00","0.00","3.58","15.06"
"7848","179.28","100.00","0.00","3.58","15.10"
"7864","180.07","100.00","0.00","3.58","15.16"
"7891","180.70","100.00","0.00","3.58","15.20"
"7945","181.49","100.00","0.00","3.58","15.26"
"7978","182.25","100.00","0.00","4.14","15.31"
"7996","182.88","100.00","0.00","4.65","15.36"
"8012","183.53","100.00","0.00","4.65","15.40"
"8040","184.28","100.00","0.00","5.21","15.45"
"8086","184.89","100.00","0.00","5.21","15.50"
"8137","185.65","100.00","0.00","5.21","15.56"
"8145","186.40","100.00","0.00","5.21","15.61"
"8168","187.01","100.00","0.00","4.65","15.66"
"8223","187.73","100.00","0.00","3.86","15.71"
"8277","188.29","100.00","0.00","3.58","15.75"
"8256","189.06","100.00","0.00","2.74","15.81"
"8267","189.63","100.00","0.00","2.46","15.85"
"8294","190.41","100.00","0.00","1.67","15.91"
"8343","190.94","100.00","0.00","1.67","15.95"
"8397","191.63","100.00","0.00","1.67","16.01"
"8396","192.23","100.00","0.00","1.95","16.05"
"8409","192.93","100.00","0.00","1.95","16.11"
"8430","193.51","100.00","0.00","2.19","16.15"
"8479","194.16","100.00","0.00","2.46","16.20"
"8516","194.81","100.00","0.00","2.46","16.26"
"8533","195.32","100.00","0.00","2.46","16.30"
"8545","196.01","100.00","0.00","2.74","16.36"
"8567","196.53","100.00","0.00","3.30","16.40"
"8626","197.17","100.00","0.00","3.86","16.46"
"8624","197.82","100.00","0.00","3.86","16.51"
"8636","198.32","100.00","0.00","4.37","16.56"
"8702","198.94","100.00","0.00","4.37","16.61"
"8700","199.44","100.00","0.00","4.37","16.65"
"8722","200.06","100.00","0.00","4.93","16.71"
"8754","200.55","100.00","0.00","4.93","16.75"
"8782","201.14","100.00","0.00","4.93","16.81"
"8797","201.74","100.00","0.00","4.93","16.86"
"8802","202.25","100.00","0.00","4.93","16.91"
"8702","202.71","100.00","0.00","5.49","16.96"
"8328","202.51","100.00","0.00","6.05","17.00"
"7521","203.18","100.00","0.00","6.56","17.06"
"7498","203.67","100.00","0.00","6.56","17.10"
"7555","204.22","100.00","0.00","6.32","17.16"
"7587","204.60","100.00","0.00","6.32","17.20"
"7575","205.18","100.00","0.00","6.32","17.26"
"7579","205.63","100.00","0.00","6.05","17.31"
"7597","206.15","100.00","0.00","5.49","17.36"
"7635","206.56","100.00","0.00","4.93","17.40"
"7648","207.12","100.00","0.00","4.93","17.46"
"7653","207.54","100.00","0.00","4.65","17.50"
"7675","208.09","100.00","0.00","4.65","17.56"
"7703","208.51","100.00","0.00","4.14","17.60"
"7716","209.04","100.00","0.00","3.86","17.66"
"7722","209.48","100.00","0.00","3.58","17.70"
"7750","210.03","100.00","0.00","3.30","17.76"
"7764","210.46","100.00","0.00","3.02","17.81"
"7785","210.98","100.00","0.00","2.74","17.86"
"7794","211.43","100.00","0.00","2.74","17.91"
"7830","211.96","100.00","0.00","2.74","17.96"
"7840","212.37","100.00","0.00","2.74","18.00"
"7854","212.93","100.00","0.00","2.46","18.06"
"7864","213.34","100.00","0.00","2.46","18.10"
"7899","213.88","100.00","0.00","2.46","18.16"
"7913","214.31","100.00","0.00","2.19","18.20"
"7924","214.87","100.00","0.00","1.95","18.26"
"7936","215.30","100.00","0.00","1.67","18.31"
"7950","215.74","100.00","0.00","1.40","18.35"
"7984","216.25","100.00","0.00","0.84","18.41"
"8005","216.76","100.00","0.00","0.84","18.46"
"8006","217.20","100.00","0.00","0.84","18.50"
"8022","217.76","100.00","0.00","0.84","18.56"
"8048","218.18","100.00","0.00","0.84","18.60"
"8068","218.59","100.00","0.00","0.84","18.65"
"8073","219.12","100.00","0.00","0.84","18.70"
"8098","219.65","100.00","0.00","0.56","18.76"
"8115","220.04","100.00","0.00","0.28","18.81"
"8147","220.53","100.00","0.00","-0.56","18.86"
"8150","220.95","100.00","0.00","-1.39","18.90"
"8159","221.48","100.00","0.00","-2.19","18.96"
"8180","221.88","100.00","0.00","-1.63","19.00"
"8191","222.38","100.00","0.00","-0.56","19.06"
"8210","222.79","100.00","0.00","-0.28","19.10"
"8241","223.28","100.00","0.00","-0.28","19.16"
"8255","223.78","100.00","0.00","-0.28","19.21"
"8253","224.17","100.00","0.00","-0.28","19.25"
"8276","224.66","100.00","0.00","0.28","19.31"
"8309","225.04","100.00","0.00","0.28","19.35"
"8317","225.52","100.00","0.00","0.28","19.41"
"8322","226.01","100.00","0.00","0.28","19.46"
"8338","226.38","100.00","0.00","0.00","19.50"
"8361","226.82","100.00","0.00","0.00","19.56"
"8373","227.22","100.00","0.00","0.00","19.60"
"8393","227.68","100.00","0.00","0.28","19.66"
"8406","228.13","100.00","0.00","0.00","19.71"
"8421","228.48","100.00","0.00","-0.56","19.75"
"8423","228.93","100.00","0.00","-2.19","19.81"
"8436","229.31","100.00","0.00","-2.19","19.85"
"8465","229.74","100.00","0.00","-0.56","19.91"
"8488","230.16","100.00","0.00","0.84","19.96"
"8488","230.53","100.00","0.00","1.95","20.00"
"8498","230.97","100.00","0.00","1.67","20.06"
"8516","231.32","100.00","0.00","0.28","20.10"
